,Date,10am,12pm,2pm,4pm,6pm,8pm,10pm,12pm
1,10/16/2018,6,16,21,19,17,14,10,10
2,10/17/2018,7,15,20,16,17,10,8,6
3,10/18/2018,3,10,15,20,16,8,4,4
4,10/17/2018,2,3,8,15,16,17,10,10
5,10/18/2018,6,8,7,15,16,10,7,7
6,10/19/2018,7,16,20,16,11,8,9,10
7,10/20/2018,4,10,9,10,14,19,12,7
8,10/21/2018,10,8,9,21,14,11,14,10
9,10/22/2018,5,9,16,20,14,15,10,8
10,10/23/2018,3,10,10,6,5,12,10,6
11,10/24/2018,6,7,8,16,13,13,11,6
12,10/25/2018,10,11,8,15,13,17,14,10
13,10/26/2018,9,7,17,23,20,13,10,3
14,10/27/2018,11,17,18,14,15,9,6,6
15,10/28/2018,5,12,12,19,18,17,11,12
16,10/29/2018,0,5,6,13,15,11,13,7
17,10/30/2018,4,9,15,15,16,12,8,4
18,10/31/2018,7,14,15,13,19,16,10,7
19,11/1/2018,12,9,14,18,17,20,13,8
20,11/2/2018,4,6,10,15,20,18,15,11
21,11/3/2018,2,11,14,17,16,20,11,11
22,11/4/2018,3,8,7,8,11,14,12,6
23,11/5/2018,8,12,11,13,14,10,11,12
24,11/6/2018,7,13,15,16,20,13,12,10
25,11/7/2018,1,8,15,19,18,14,6,8
26,11/8/2018,5,10,13,17,14,19,12,7
