,Date,10am,12pm,2pm,4pm,6pm,8pm,10pm,12am
1,10/16/2018,3,11,10,9,8,9,5,5
2,10/17/2018,6,10,15,11,8,5,3,3
3,10/18/2018,3,5,10,15,11,5,4,4
4,10/17/2018,2,3,8,10,11,12,5,6
5,10/18/2018,1,3,2,7,10,5,2,2
6,10/19/2018,2,11,15,10,6,8,4,5
7,10/20/2018,4,5,4,6,7,13,7,7
8,10/21/2018,5,6,4,15,9,6,9,5
9,10/22/2018,5,9,11,15,9,10,5,7
10,10/23/2018,3,5,5,6,5,7,5,6
11,10/24/2018,6,7,8,11,8,8,6,6
12,10/25/2018,7,10,6,10,8,12,9,10
13,10/26/2018,9,7,12,15,12,8,5,3
14,10/27/2018,5,12,9,9,10,9,5,6
15,10/28/2018,5,7,12,12,13,12,6,8
16,10/29/2018,0,5,6,7,10,11,8,7
17,10/30/2018,4,9,10,15,11,12,8,4
18,10/31/2018,7,14,10,11,14,11,10,7
19,11/1/2018,7,9,14,13,12,15,8,8
20,11/2/2018,4,6,10,10,15,13,10,6
21,11/3/2018,2,11,14,12,10,10,6,7
22,11/4/2018,3,8,7,8,11,14,12,6
23,11/5/2018,8,12,11,13,9,10,6,5
24,11/6/2018,4,8,10,11,15,8,7,5
25,11/7/2018,1,8,7,9,13,9,1,2
26,11/8/2018,5,10,7,12,9,10,7,7
